"account_id","business_date","currency","opening_balance","credit_volume","debit_volume","closing_balance","txn_count","computed_at"
"C1002417864","2026-01-16","USD","0.00","0.00","750270.52","-750270.52","1","2026-09-07 19:39:59.437443 UTC"
"C1003206025","2026-01-01","USD","0.00","0.00","871.75","-871.75","1","2026-09-07 19:39:59.437443 UTC"
"C1012707347","2026-01-06","USD","0.00","0.00","12091.12","-12091.12","1","2026-09-07 19:39:59.437443 UTC"
"C1003755748","2026-01-01","EUR","0.00","0.00","9029.12","-9029.12","1","2026-09-07 19:39:59.437443 UTC"
"C1004430079","2026-01-01","USD","0.00","0.00","1617.90","-1617.90","1","2026-09-07 19:39:59.437443 UTC"
"C100445376","2026-01-01","EUR","0.00","0.00","59390.46","-59390.46","1","2026-09-07 19:39:59.437443 UTC"
"C1011044643","2026-01-01","EUR","0.00","0.00","12154.70","-12154.70","1","2026-09-07 19:39:59.437443 UTC"
"C1016856028","2026-01-01","USD","0.00","0.00","1795.67","-1795.67","1","2026-09-07 19:39:59.437443 UTC"
"C1021565761","2026-01-01","USD","0.00","0.00","16631.14","-16631.14","1","2026-09-07 19:39:59.437443 UTC"
"C1019397304","2026-01-06","EUR","0.00","193980.81","0.00","193980.81","1","2026-09-07 19:39:59.437443 UTC"
"C1019562230","2026-01-06","USD","0.00","0.00","5272.45","-5272.45","1","2026-09-07 19:39:59.437443 UTC"
"C1023063405","2026-01-06","EUR","0.00","0.00","1144.61","-1144.61","1","2026-09-07 19:39:59.437443 UTC"
"C1037000742","2026-01-06","EUR","0.00","0.00","141917.76","-141917.76","1","2026-09-07 19:39:59.437443 UTC"
"C1041207","2026-01-06","EUR","0.00","0.00","14260.56","-14260.56","1","2026-09-07 19:39:59.437443 UTC"
"C1047698758","2026-01-06","GBP","0.00","0.00","105124.60","-105124.60","1","2026-09-07 19:39:59.437443 UTC"
"C1027319653","2026-01-01","EUR","0.00","0.00","9014.95","-9014.95","1","2026-09-07 19:39:59.437443 UTC"
"C1027569178","2026-01-01","EUR","0.00","0.00","885.90","-885.90","1","2026-09-07 19:39:59.437443 UTC"
"C1028145537","2026-01-01","GBP","0.00","0.00","5831.03","-5831.03","1","2026-09-07 19:39:59.437443 UTC"
"C1032568028","2026-01-01","EUR","0.00","0.00","77642.84","-77642.84","1","2026-09-07 19:39:59.437443 UTC"
"C1042891691","2026-01-01","USD","0.00","0.00","45756.23","-45756.23","1","2026-09-07 19:39:59.437443 UTC"
"C1043639521","2026-01-01","GBP","0.00","39249.67","0.00","39249.67","1","2026-09-07 19:39:59.437443 UTC"
"C104716441","2026-01-01","EUR","0.00","0.00","2252.44","-2252.44","1","2026-09-07 19:39:59.437443 UTC"
"C1049590050","2026-01-01","EUR","0.00","0.00","18288.91","-18288.91","1","2026-09-07 19:39:59.437443 UTC"
"C1005914030","2026-01-16","USD","0.00","0.00","1207.27","-1207.27","1","2026-09-07 19:39:59.437443 UTC"
"C1013097003","2026-01-16","EUR","0.00","0.00","1327566.28","-1327566.28","1","2026-09-07 19:39:59.437443 UTC"
"C1050165504","2026-01-06","EUR","0.00","0.00","11515.03","-11515.03","1","2026-09-07 19:39:59.437443 UTC"
"C1057161751","2026-01-06","EUR","0.00","0.00","10475.55","-10475.55","1","2026-09-07 19:39:59.437443 UTC"
"C1069720017","2026-01-06","USD","0.00","0.00","3626.07","-3626.07","1","2026-09-07 19:39:59.437443 UTC"
"C1080651718","2026-01-06","GBP","0.00","0.00","3230.70","-3230.70","1","2026-09-07 19:39:59.437443 UTC"
"C1090788401","2026-01-06","GBP","0.00","0.00","2973.89","-2973.89","1","2026-09-07 19:39:59.437443 UTC"
"C1091633125","2026-01-06","EUR","0.00","207880.29","0.00","207880.29","1","2026-09-07 19:39:59.437443 UTC"
"C1098082328","2026-01-06","USD","0.00","0.00","336.05","-336.05","1","2026-09-07 19:39:59.437443 UTC"
"C1100176029","2026-01-06","GBP","0.00","299234.56","0.00","299234.56","1","2026-09-07 19:39:59.437443 UTC"
"C1052768296","2026-01-01","GBP","0.00","0.00","132574.00","-132574.00","1","2026-09-07 19:39:59.437443 UTC"
"C1052842393","2026-01-01","EUR","0.00","0.00","1697.56","-1697.56","1","2026-09-07 19:39:59.437443 UTC"
"C105321150","2026-01-01","GBP","0.00","0.00","11770.54","-11770.54","1","2026-09-07 19:39:59.437443 UTC"
"C1055601039","2026-01-01","GBP","0.00","0.00","180368.84","-180368.84","1","2026-09-07 19:39:59.437443 UTC"
"C1057468716","2026-01-01","GBP","0.00","0.00","9686.85","-9686.85","1","2026-09-07 19:39:59.437443 UTC"
"C1057569470","2026-01-01","USD","0.00","0.00","7272.63","-7272.63","1","2026-09-07 19:39:59.437443 UTC"
"C1059300256","2026-01-01","GBP","0.00","0.00","15034.23","-15034.23","1","2026-09-07 19:39:59.437443 UTC"
"C1060519157","2026-01-01","USD","0.00","45317.95","0.00","45317.95","1","2026-09-07 19:39:59.437443 UTC"
"C1068445309","2026-01-01","USD","0.00","0.00","11656.12","-11656.12","1","2026-09-07 19:39:59.437443 UTC"
"C1087072654","2026-01-01","EUR","0.00","134977.11","0.00","134977.11","1","2026-09-07 19:39:59.437443 UTC"
"C1088417975","2026-01-01","GBP","0.00","0.00","163100.34","-163100.34","1","2026-09-07 19:39:59.437443 UTC"
"C1095947149","2026-01-01","GBP","0.00","0.00","964.77","-964.77","1","2026-09-07 19:39:59.437443 UTC"
"C1101598632","2026-01-01","USD","0.00","0.00","173597.57","-173597.57","1","2026-09-07 19:39:59.437443 UTC"
"C1107579932","2026-01-01","GBP","0.00","0.00","152757.58","-152757.58","1","2026-09-07 19:39:59.437443 UTC"
"C1108706191","2026-01-01","GBP","0.00","0.00","114057.61","-114057.61","1","2026-09-07 19:39:59.437443 UTC"
"C1110698130","2026-01-01","USD","0.00","0.00","4635.18","-4635.18","1","2026-09-07 19:39:59.437443 UTC"
"C1103641328","2026-01-06","USD","0.00","0.00","6539.91","-6539.91","1","2026-09-07 19:39:59.437443 UTC"
"C1111947524","2026-01-06","EUR","0.00","0.00","474349.67","-474349.67","1","2026-09-07 19:39:59.437443 UTC"
"C1123757033","2026-01-06","EUR","0.00","0.00","3866.19","-3866.19","1","2026-09-07 19:39:59.437443 UTC"
"C1123939422","2026-01-06","EUR","0.00","117770.95","0.00","117770.95","1","2026-09-07 19:39:59.437443 UTC"
"C1125721069","2026-01-06","EUR","0.00","0.00","11587.52","-11587.52","1","2026-09-07 19:39:59.437443 UTC"
"C115584215","2026-01-06","USD","0.00","0.00","5435.84","-5435.84","1","2026-09-07 19:39:59.437443 UTC"
"C1159675750","2026-01-06","GBP","0.00","0.00","1149.98","-1149.98","1","2026-09-07 19:39:59.437443 UTC"
"C1162021415","2026-01-06","USD","0.00","0.00","5385.54","-5385.54","1","2026-09-07 19:39:59.437443 UTC"
"C1163059848","2026-01-06","EUR","0.00","0.00","5418.64","-5418.64","1","2026-09-07 19:39:59.437443 UTC"
"C1168134992","2026-01-06","USD","0.00","177793.46","0.00","177793.46","1","2026-09-07 19:39:59.437443 UTC"
"C1168398461","2026-01-06","USD","0.00","0.00","2328.84","-2328.84","1","2026-09-07 19:39:59.437443 UTC"
"C116850709","2026-01-06","EUR","0.00","0.00","10131.78","-10131.78","1","2026-09-07 19:39:59.437443 UTC"
"C1174829684","2026-01-06","GBP","0.00","0.00","5238.34","-5238.34","1","2026-09-07 19:39:59.437443 UTC"
"C1177148901","2026-01-06","GBP","0.00","0.00","24690.36","-24690.36","1","2026-09-07 19:39:59.437443 UTC"
"C1182015948","2026-01-06","GBP","0.00","0.00","160869.97","-160869.97","1","2026-09-07 19:39:59.437443 UTC"
"C1183285782","2026-01-06","EUR","0.00","201289.94","0.00","201289.94","1","2026-09-07 19:39:59.437443 UTC"
