"account_id","balance_as_known","balance_as_restated","delta","as_of_ts"
"C1445424568","-227768.63","-227768.63","0.00","2026-01-01 23:59:59.000000 UTC"
"C1544895390","-3666.42","-3666.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C1974622245","-108443.61","-108443.61","0.00","2026-01-01 23:59:59.000000 UTC"
"C1113895488","47529.19","47529.19","0.00","2026-01-01 23:59:59.000000 UTC"
"C836969741","-15448.00","-15448.00","0.00","2026-01-01 23:59:59.000000 UTC"
"C1554086576","-11411.34","-11411.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1060703587","-118056.71","-118056.71","0.00","2026-01-01 23:59:59.000000 UTC"
"C1979055448","-95636.49","-95636.49","0.00","2026-01-01 23:59:59.000000 UTC"
"C1878700101","-94332.00","-94332.00","0.00","2026-01-01 23:59:59.000000 UTC"
"C124494140","-7367.06","-7367.06","0.00","2026-01-01 23:59:59.000000 UTC"
"C1099552523","-8494.71","-8494.71","0.00","2026-01-01 23:59:59.000000 UTC"
"C798622145","158775.58","158775.58","0.00","2026-01-01 23:59:59.000000 UTC"
"C1293462056","285185.34","285185.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C1265053098","-151.20","-151.20","0.00","2026-01-01 23:59:59.000000 UTC"
"C761750706","-1563.82","-1563.82","0.00","2026-01-01 23:59:59.000000 UTC"
"C1200546947","193492.68","193492.68","0.00","2026-01-01 23:59:59.000000 UTC"
"C1603696865","-554026.99","-554026.99","0.00","2026-01-01 23:59:59.000000 UTC"
"C164714495","5221.77","5221.77","0.00","2026-01-01 23:59:59.000000 UTC"
"C167013780","-112.56","-112.56","0.00","2026-01-01 23:59:59.000000 UTC"
"C1364127192","-35063.63","-35063.63","0.00","2026-01-01 23:59:59.000000 UTC"
"C753631393","-177652.91","-177652.91","0.00","2026-01-01 23:59:59.000000 UTC"
"C588449070","54988.56","54988.56","0.00","2026-01-01 23:59:59.000000 UTC"
"C1785111044","-8690.86","-8690.86","0.00","2026-01-01 23:59:59.000000 UTC"
"C1221981006","-5213.25","-5213.25","0.00","2026-01-01 23:59:59.000000 UTC"
"C1129433283","-2803.83","-2803.83","0.00","2026-01-01 23:59:59.000000 UTC"
"C1805164661","-7600.57","-7600.57","0.00","2026-01-01 23:59:59.000000 UTC"
"C2093319848","-2756.30","-2756.30","0.00","2026-01-01 23:59:59.000000 UTC"
"C900298796","-8281.57","-8281.57","0.00","2026-01-01 23:59:59.000000 UTC"
"C1175418534","-7541.47","-7541.47","0.00","2026-01-01 23:59:59.000000 UTC"
"C1443967876","-125872.53","-125872.53","0.00","2026-01-01 23:59:59.000000 UTC"
"C862025017","-4086.50","-4086.50","0.00","2026-01-01 23:59:59.000000 UTC"
"C1357686726","-126774.50","-126774.50","0.00","2026-01-01 23:59:59.000000 UTC"
"C191945292","-3417.18","-3417.18","0.00","2026-01-01 23:59:59.000000 UTC"
"C1448805967","13289.87","13289.87","0.00","2026-01-01 23:59:59.000000 UTC"
"C1893563925","-6039.61","-6039.61","0.00","2026-01-01 23:59:59.000000 UTC"
"C405741210","-6078.56","-6078.56","0.00","2026-01-01 23:59:59.000000 UTC"
"C1119242936","-1150.14","-1150.14","0.00","2026-01-01 23:59:59.000000 UTC"
"C1862994526","143236.26","143236.26","0.00","2026-01-01 23:59:59.000000 UTC"
"C1926180325","-5937.72","-5937.72","0.00","2026-01-01 23:59:59.000000 UTC"
"C156199931","-8309.52","-8309.52","0.00","2026-01-01 23:59:59.000000 UTC"
"C1135935001","-639378.37","-639378.37","0.00","2026-01-01 23:59:59.000000 UTC"
"C1411543296","173948.89","173948.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C1831141281","-962.43","-962.43","0.00","2026-01-01 23:59:59.000000 UTC"
"C961859592","-1580.66","-1580.66","0.00","2026-01-01 23:59:59.000000 UTC"
"C1107204185","-195490.04","-195490.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C512549200","-5346.89","-5346.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C822087264","-1915.43","-1915.43","0.00","2026-01-01 23:59:59.000000 UTC"
"C1721045976","-1002.96","-1002.96","0.00","2026-01-01 23:59:59.000000 UTC"
"C1413886135","-8148.08","-8148.08","0.00","2026-01-01 23:59:59.000000 UTC"
"C842331982","247575.40","247575.40","0.00","2026-01-01 23:59:59.000000 UTC"
"C1373577787","-386683.04","-386683.04","0.00","2026-01-01 23:59:59.000000 UTC"
"C854653864","-2881.51","-2881.51","0.00","2026-01-01 23:59:59.000000 UTC"
"C1700721442","-6099.96","-6099.96","0.00","2026-01-01 23:59:59.000000 UTC"
"C1078262677","311023.52","311023.52","0.00","2026-01-01 23:59:59.000000 UTC"
"C255941269","-1873.13","-1873.13","0.00","2026-01-01 23:59:59.000000 UTC"
"C892931811","-9161.98","-9161.98","0.00","2026-01-01 23:59:59.000000 UTC"
"C867288517","-5529.13","-5529.13","0.00","2026-01-01 23:59:59.000000 UTC"
"C1829460911","-5924.89","-5924.89","0.00","2026-01-01 23:59:59.000000 UTC"
"C788905599","-8948.03","-8948.03","0.00","2026-01-01 23:59:59.000000 UTC"
"C681639276","-13954.75","-13954.75","0.00","2026-01-01 23:59:59.000000 UTC"
"C1967617997","-3396.25","-3396.25","0.00","2026-01-01 23:59:59.000000 UTC"
"C1016633682","-9006.78","-9006.78","0.00","2026-01-01 23:59:59.000000 UTC"
"C1111379131","-2290.73","-2290.73","0.00","2026-01-01 23:59:59.000000 UTC"
"C1649847375","-1440296.14","-1440296.14","0.00","2026-01-01 23:59:59.000000 UTC"
"C1734184086","-463722.76","-463722.76","0.00","2026-01-01 23:59:59.000000 UTC"
"C118555812","-68662.06","-68662.06","0.00","2026-01-01 23:59:59.000000 UTC"
"C1335061928","-681093.57","-681093.57","0.00","2026-01-01 23:59:59.000000 UTC"
"C1091107430","-39069.42","-39069.42","0.00","2026-01-01 23:59:59.000000 UTC"
"C1454026445","-6737.20","-6737.20","0.00","2026-01-01 23:59:59.000000 UTC"
"C2021053848","-3766.99","-3766.99","0.00","2026-01-01 23:59:59.000000 UTC"
"C664091267","-13465.91","-13465.91","0.00","2026-01-01 23:59:59.000000 UTC"
"C1976401987","-62610.80","-62610.80","0.00","2026-01-01 23:59:59.000000 UTC"
"C579447973","-173512.93","-173512.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C1334405552","-1277212.77","-1277212.77","0.00","2026-01-01 23:59:59.000000 UTC"
"C9844218","-96178.80","-96178.80","0.00","2026-01-01 23:59:59.000000 UTC"
"C893640573","-18781.84","-18781.84","0.00","2026-01-01 23:59:59.000000 UTC"
"C1256405521","352568.35","352568.35","0.00","2026-01-01 23:59:59.000000 UTC"
"C26928827","196725.32","196725.32","0.00","2026-01-01 23:59:59.000000 UTC"
"C4073506","-234268.82","-234268.82","0.00","2026-01-01 23:59:59.000000 UTC"
"C1653751526","-708.59","-708.59","0.00","2026-01-01 23:59:59.000000 UTC"
"C82275756","-621561.65","-621561.65","0.00","2026-01-01 23:59:59.000000 UTC"
"C1164365897","-4843.93","-4843.93","0.00","2026-01-01 23:59:59.000000 UTC"
"C1197721383","317393.38","317393.38","0.00","2026-01-01 23:59:59.000000 UTC"
"C948960194","-663.34","-663.34","0.00","2026-01-01 23:59:59.000000 UTC"
"C221861886","-1097.74","-1097.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C1966355106","-25793.74","-25793.74","0.00","2026-01-01 23:59:59.000000 UTC"
"C1936550492","-369989.20","-369989.20","0.00","2026-01-01 23:59:59.000000 UTC"
"C16373883","-179030.05","-179030.05","0.00","2026-01-01 23:59:59.000000 UTC"
"C69062746","-14121.82","-14121.82","0.00","2026-01-01 23:59:59.000000 UTC"
