"currency","business_date","published_net","restated_net","drift_amount","drift_pct","computed_at"
"USD","2026-01-09","-34541579.29","-34541579.29","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-09","-44033761.95","-44034815.74","-1053.79","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-09","-26085905.70","-26085905.70","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-02","-6332583.20","-6332583.20","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2025-12-28","-5947.80","-5947.80","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-03","-4980902.88","-4980902.88","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-03","-417904.37","-417904.37","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-03","-6751223.87","-6751223.87","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-02","-19933159.66","-19933159.66","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-02","-19110060.89","-19110060.89","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-10","-41335933.65","-39415168.55","1920765.10","0.0465","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-10","-32498562.51","-32405905.96","92656.55","0.0029","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-10","-24303006.50","-23115851.51","1187154.99","0.0488","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-08","-29554026.97","-29554026.97","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-08","-38980334.82","-38980334.82","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-08","-47268000.66","-47264961.17","3039.49","0.0001","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-06","-7287161.26","-7287161.26","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-06","-14892284.51","-14892284.51","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-06","-7890826.81","-7890826.81","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-07","-29474673.44","-29474673.44","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-07","-28140110.75","-28140110.75","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-07","-29606930.20","-29606930.20","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-05","-12657602.81","-12657602.81","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-05","-19368024.24","-19368024.24","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-05","-33615409.81","-33615409.81","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-01","-30357742.93","-30357742.93","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"GBP","2026-01-04","899718.69","899718.69","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-01","-21782130.02","-21782130.02","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-01","-17038569.57","-17038569.57","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"EUR","2026-01-04","-3101110.35","-3101110.35","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
"USD","2026-01-04","-19812280.32","-19812280.32","0.00","0.0000","2026-09-07 11:22:59.306720 UTC"
