"transaction_id","account_id","amount","currency","tx_type","status","event_timestamp","source_lsn","is_deleted","_updated_at"
"T-003000008","C1006297128","344106.28","USD","CASH_IN","SETTLED","2026-01-04 01:00:00.000000 UTC","8166","false","2026-09-07 06:43:43.859721 UTC"
"T-000000018","C2033524545","671.63","USD","PAYMENT","SETTLED","2026-01-21 12:00:00.000000 UTC","900000018","false","2026-09-07 15:17:17.172513 UTC"
"T-006080005","C1005782739","3805.94","GBP","PAYMENT","SETTLED","2026-01-07 09:00:00.000000 UTC","16983","false","2026-09-07 06:44:10.894167 UTC"
"T-000000004","C2048537720","11668.13","EUR","PAYMENT","SETTLED","2026-01-21 12:00:00.000000 UTC","900000004","false","2026-09-07 15:17:17.172513 UTC"
"T-000000020","C20804602","1373.42","EUR","PAYMENT","SETTLED","2026-01-21 12:00:00.000000 UTC","900000020","false","2026-09-07 15:17:17.172513 UTC"
"T-006060019","C1130431409","12999.97","GBP","PAYMENT","SETTLED","2026-01-07 06:00:00.000000 UTC","16710","false","2026-09-07 06:44:10.894167 UTC"
"T-006000021","C1157136713","11226.69","EUR","PAYMENT","SETTLED","2026-01-07 00:00:00.000000 UTC","16083","false","2026-09-07 06:44:10.894167 UTC"
"T-003040028","C1012194796","2005.44","EUR","PAYMENT","SETTLED","2026-01-04 05:00:00.000000 UTC","8612","false","2026-09-07 06:43:43.859721 UTC"
"T-003120067","C1078783335","1032930.05","GBP","TRANSFER","SETTLED","2026-01-04 16:00:00.000000 UTC","9717","false","2026-09-07 06:43:43.859721 UTC"
"T-000000015","C905080434","229133.93","EUR","CASH_OUT","SETTLED","2026-01-21 12:00:00.000000 UTC","900000015","false","2026-09-07 15:17:17.172513 UTC"
"T-006130019","C1162203072","490606.82","USD","TRANSFER","PENDING","2026-01-07 13:00:00.000000 UTC","17324","false","2026-09-07 06:44:10.894167 UTC"
"T-006020033","C1236678463","5624.03","USD","PAYMENT","SETTLED","2026-01-07 02:00:00.000000 UTC","16331","false","2026-09-07 06:44:10.894167 UTC"
"T-006110042","C128683923","264788.06","GBP","CASH_IN","SETTLED","2026-01-07 12:00:00.000000 UTC","17287","false","2026-09-07 06:44:10.894167 UTC"
"T-007160031","C1292791228","17735.42","EUR","PAYMENT","PENDING","2026-01-07 16:00:00.000000 UTC","20300","false","2026-09-07 06:44:20.295889 UTC"
"T-002230022","C1112569408","7536.31","EUR","PAYMENT","SETTLED","2026-01-04 01:00:00.000000 UTC","8181","false","2026-09-07 06:43:43.859721 UTC"
"T-003160016","C1159206653","4289.33","EUR","PAYMENT","SETTLED","2026-01-04 16:00:00.000000 UTC","9720","false","2026-09-07 06:43:43.859721 UTC"
"T-003160006","C1174000532","120074.73","USD","CASH_OUT","SETTLED","2026-01-04 16:00:00.000000 UTC","9770","false","2026-09-07 06:43:43.859721 UTC"
"T-003180019","C1185631996","414729.24","USD","CASH_IN","SETTLED","2026-01-04 18:00:00.000000 UTC","9959","false","2026-09-07 06:43:43.859721 UTC"
"T-006140017","C1297151618","578730.75","GBP","CASH_OUT","SETTLED","2026-01-07 16:00:00.000000 UTC","17678","false","2026-09-07 06:44:10.894167 UTC"
"T-006180005","C1327408227","991.87","USD","PAYMENT","SETTLED","2026-01-07 18:00:00.000000 UTC","17911","false","2026-09-07 06:44:10.894167 UTC"
"T-006110046","C1338734959","340150.56","USD","CASH_IN","PENDING","2026-01-07 11:00:00.000000 UTC","17145","false","2026-09-07 06:44:10.894167 UTC"
"T-006070025","C136575352","85410.75","USD","CASH_IN","SETTLED","2026-01-07 09:00:00.000000 UTC","16967","false","2026-09-07 06:44:10.894167 UTC"
"T-006000011","C1385099824","1495.79","USD","PAYMENT","SETTLED","2026-01-07 00:00:00.000000 UTC","16079","false","2026-09-07 06:44:10.894167 UTC"
"T-006180046","C1390178738","72428.51","EUR","CASH_OUT","SETTLED","2026-01-07 18:00:00.000000 UTC","17899","false","2026-09-07 06:44:10.894167 UTC"
"T-006170018","C1437978127","8936.88","EUR","PAYMENT","SETTLED","2026-01-07 17:00:00.000000 UTC","17799","false","2026-09-07 06:44:10.894167 UTC"
"T-006200016","C1475476398","2268.74","USD","PAYMENT","SETTLED","2026-01-07 20:00:00.000000 UTC","18119","false","2026-09-07 06:44:10.894167 UTC"
"T-003150066","C1248488041","6608.18","USD","PAYMENT","SETTLED","2026-01-04 16:00:00.000000 UTC","9755","false","2026-09-07 06:43:43.859721 UTC"
"T-003100037","C1287728562","1235.49","EUR","DEBIT","SETTLED","2026-01-04 10:00:00.000000 UTC","9094","false","2026-09-07 06:43:43.859721 UTC"
"T-003130038","C1329362952","12204.29","GBP","PAYMENT","SETTLED","2026-01-04 15:00:00.000000 UTC","9625","false","2026-09-07 06:43:43.859721 UTC"
"T-003110019","C1337346642","2801.24","GBP","PAYMENT","SETTLED","2026-01-04 15:00:00.000000 UTC","9610","false","2026-09-07 06:43:43.859721 UTC"
"T-003150003","C1359849336","20470.30","EUR","CASH_OUT","SETTLED","2026-01-04 16:00:00.000000 UTC","9767","false","2026-09-07 06:43:43.859721 UTC"
"T-003060010","C1364898802","2463.48","GBP","PAYMENT","SETTLED","2026-01-04 06:00:00.000000 UTC","8702","false","2026-09-07 06:43:43.859721 UTC"
"T-003050012","C1383031847","352364.46","USD","CASH_IN","SETTLED","2026-01-04 05:00:00.000000 UTC","8597","false","2026-09-07 06:43:43.859721 UTC"
